id,name,team,team_abbr,position
SherAn00,Anthony Sherman,Kansas City Chiefs,KAN,RB
SuttCo00,Courtland Sutton,Denver Broncos,DEN,WR
TaylJJ01,J.J. Taylor,New England Patriots,NWE,RB
VaugKe00,Ke'Shawn Vaughn,Tampa Bay Buccaneers,TAM,RB
BoarC.00,C.J. Board,New York Giants,NYG,WR
ColeTe01,Tevin Coleman,San Francisco 49ers,SFO,RB
DaniDa02,Darrell Daniels,Arizona Cardinals,ARI,TE
DoylJa00,Jack Doyle,Indianapolis Colts,IND,TE
GillRe00,Reggie Gilliam,Buffalo Bills,BUF,TE
JohnTy00,Tyler Johnson,Tampa Bay Buccaneers,TAM,WR
KnoxDa00,Dawson Knox,Buffalo Bills,BUF,TE
MackMa00,Marlon Mack,Indianapolis Colts,IND,RB
McFaAn00,Anthony McFarland Jr.,Pittsburgh Steelers,PIT,RB
PeriLa00,La'Mical Perine,New York Jets,NYJ,RB
RatlDa00,Damion Ratley,New York Giants,NYG,WR
RicaPa00,Patrick Ricard,Baltimore Ravens,BAL,RB
SmitIt00,Ito Smith,Atlanta Falcons,ATL,RB
SmitLe00,Lee Smith,Buffalo Bills,BUF,WR
TateAu00,Auden Tate,Cincinnati Bengals,CIN,WR
ThomJo05,Jordan Thomas,Arizona Cardinals,ARI,TE
WrigIs01,Isaiah Wright,Washington Football Team,WAS,WR
BlakCh00,Christian Blake,Atlanta Falcons,ATL,WR
BurtTr01,Trey Burton,Indianapolis Colts,IND,TE
CallMa01,Marquez Callaway,New Orleans Saints,NOR,WR
DwelRo00,Ross Dwelley,San Francisco 49ers,SFO,TE
FirkAn00,Anthony Firkser,Tennessee Titans,TEN,TE
HodgKh00,KhaDarel Hodge,Cleveland Browns,CLE,WR
McCoLe01,LeSean McCoy,Tampa Bay Buccaneers,TAM,RB
McDoVa00,Vance McDonald,Pittsburgh Steelers,PIT,TE
RobiDe01,Demarcus Robinson,Kansas City Chiefs,KAN,WR
SmitKa00,Kaden Smith,New York Giants,NYG,TE
ArceJJ00,JJ Arcega-Whiteside,Philadelphia Eagles,PHI,WR
BatsCa00,Cameron Batson,Tennessee Titans,TEN,WR
BrowAJ00,A.J. Brown,Tennessee Titans,TEN,WR
CageLa01,Lawrence Cager,New York Jets,NYJ,WR
DuliAs00,Ashton Dulin,Indianapolis Colts,IND,WR
GinnTe00,Ted Ginn Jr.,Chicago Bears,CHI,WR
IzzoRy00,Ryan Izzo,New England Patriots,NWE,TE
LindPh00,Phillip Lindsay,Denver Broncos,DEN,RB
SmytDu00,Durham Smythe,Miami Dolphins,MIA,TE
SterJa00,Jace Sternberger,Green Bay Packers,GNB,TE
TaylTr02,Trent Taylor,San Francisco 49ers,SFO,WR
AgneJa00,Jamal Agnew,Detroit Lions,DET,WR
CartCe00,Cethan Carter,Cincinnati Bengals,CIN,TE
ClemCo00,Corey Clement,Philadelphia Eagles,PHI,RB
DillAJ00,AJ Dillon,Green Bay Packers,GNB,RB
GandAn00,Antonio Gandy-Golden,Washington Football Team,WAS,WR
HamiDa01,DaeSean Hamilton,Denver Broncos,DEN,WR
HarrDe03,Demetrius Harris,Chicago Bears,CHI,TE
HurtJa00,Jalen Hurts,Philadelphia Eagles,PHI,QB
JohnKe07,KeeSean Johnson,Arizona Cardinals,ARI,WR
